ID,uid,Chinese,Trad.,Pinyin,PlainPY,Definition
567,567,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
568,568,好像,好像,hǎoxiàng,hao3 xiang4,as if; to seem like
569,569,和,和,hé,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] 
when it means ""and"" or ""with""; surname He; Japanese (food, clothes etc); 
old variant of 和 ; old variant of 和 ; harmonious"
570,570,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
571,571,一样,一样,yīyàng,yi1 yang4,same; like; equal to; the same as; just like
572,572,两个,两个,liǎnggè,liang3 ge4,
573,573,人,人,rén,ren2,man; person; people; Classifiers: 个
574,574,相处,相处,xiāngchǔ,xiang1 chu3,"to be in contact (with sb); to associate; to interact; to get along (well, 
poorly)"
575,575,时,时,shí,shi2,o'clock; time; when; hour; season; period; surname Shi; old variant of 时
576,576,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
577,577,一个样,一个样,yīgeyàng,yi1 ge5 yang4,same as 一样 ; the same
578,578,有,有,yǒu,you3,to have; there is; there are; to exist; to be
579,579,旁人,旁人,pángrén,pang2 ren2,other people; bystanders; onlookers; outsiders
580,580,时,时,shí,shi2,o'clock; time; when; hour; season; period; surname Shi; old variant of 时
581,581,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
582,582,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
583,583,我,我,wǒ,wo3,I; me; my
584,584,又是,又是,yòushì,you4 shi4,
585,585,一个样,一个样,yīgeyàng,yi1 ge5 yang4,same as 一样 ; the same
ID,uid,Chinese,Trad.,Pinyin,PlainPY,Definition
