term	description
權貴階層Quánguì jiēcéng	nomenklatura The former Soviet Communist Party's system of controlling all important administrative appointments, thereby ensuring the support and loyalty of those who managed day-to-day affairs.
不结盟国家	non-aligned countries
不首先使用核武器	non-first use
互不干涉内政	non-interference in each other's internal affairs
非暴力行为	Non-violent action
不结盟运动	nonaligned movement (NAM)
非歧视原则	nondiscrimination
非政府组织	nongovernmental organization
不干涉	nonintervention
非致使武器	nonlethal weapon
非线性	nonlinearity
不擴散核武器條約Bù kuòsàn héwǔqì tiáoyuē	Nonproliferation Treaty An international agreement, drafted in 1968, not to aid nonnuclear nations in acquiring nuclear weapons; it was not signed by France, China, and other nations actively seeking to build these weapons.
非國家行為者Fēi guójiā xíngwéi zhě	nonstate actors Entity other than nationstates, including multinational corporations, nongovern mental organizations, and international nongovernmental organizations, that plays a role in international politics.
非国家实体	nonstate entity
非关税壁垒	nontariff barriers (NTBs)
非传统安全	nontraditional security
非暴力抵抗Fēi bàolì dǐkàng	nonviolent resistance A passive form of confrontation and protest; also called civil disobedience at times.
非重大利益	nonvital interests
有色人种	nonwhite people
非零和游戏	nonzero-sum game
外交关系正常化	normalization of diplomatic relations
关系正常化	normalization of relations
诺曼征服	Norman Conquest
規範的做法Guīfàn de zuòfǎ	normative approach An approach to the study of politics that is based on examining fundamental and enduring questions.
规范理论	normative theory
北美自由貿易協定（NAFTA）Běiměi zìyóu màoyì xiédìng (NAFTA)	North American Free Trade Agreement (NAFTA) Agreement signed in 1994 by the United States, Mexico, and Canada that established a compact to allow free trade or trade with reduced tariffs among the three nations.
北大西洋公約組織（北約）Běi dàxīyáng gōngyuē zǔzhī (běi yuē)	North Atlantic Treaty Organization (NATO) A military alliance, founded in 1949, originally consisting of the United States, Great Britain, Canada, Germany, France, Italy, Greece, Turkey, Portugal, Norway, Belgium, Denmark, the Netherlands, Iceland, and Luxembourg; previously, its principal aim was to prevent Soviet aggression in Europe. At present, 26 states, including many former Eastern European states that were once members of the Soviet-led Warsaw Pact, belong to NATO.
公证员	Notary Public
照会	note
核时代	nuclear age
核威慑	nuclear deterrence
无核区	nuclear free zone
核壟斷Hé lǒngduàn	nuclear monopoly When only one side in an adversarial relationship possesses a credible nuclear capability; the United States enjoyed a nuclear monopoly for roughly a decade after World War II.
核不扩散条约	Nuclear Non-Proliferation Treaty (NPT)
核技术	nuclear technology
核武器	nuclear weapons
核冬天	nuclear winter
無效Wúxiào	nullification According to this controversial idea, a state can nullify acts of the U.S. Congress within its own borders; John Calhoun and other states'-rights advocates put forward this doctrine prior to the Civil War.
教廷大使	nuncio
纽伦堡战犯审判	Nuremberg war-crimes trial
讣告	obituary
经济合作与发展组织	OECD, Organization for Economic Cooperation and Development
进攻性现实主义	offensive realism
经济体制办公厅	Office for Economic Restructuring
法制办公厅	Office of Legislative Affairs
侨务办公厅	Office of Overseas Chinese Affairs
代办处	office of the chargé d'affaires
(2)国务院办事机构	Offices under that State Council
正式访问	official visit
石油禁运	oil embargo
寡头制	Oligarchy
寡頭政治Guǎtóu zhèngzhì	oligarchy A form of authoritarian government in which a small group of powerful individuals wields absolute power.
监察专员	Ombudsman
应邀	on invitation, upon invitation
欣悉	on learning with great joy
欣逢	on the happy occasion of
一国两制	One Country, Two Systems
一黨獨大Yī dǎng dú dà	one-party dominant One-party dominant systems are different from authoritarian one-party systems in that they hold regular elections, allow open criticism of the government, and do not outlaw other parties; until recently, Japan operated as a one-party dominant system, as did Mexico; South Africa is one current example.
一党制国家	One—party States
本体论	ontology
石油输出国组织	OPEC, Organization of Petroleum Exporting Countries
开枪，开火	open fire
公海	open sea
民意测验	Opinion polls
鸦片战争	Opium War
机会主义	opportunism
普通政客Pǔtōng zhèngkè	ordinary politician Individual who concentrates on getting reelected.
石油輸出國組織（歐佩克）Shíyóu shūchū guó zǔzhī (ōupèikè)	Organization of Petroleum Exporting Countries (OPEC) A cartel established in 1961 that, since 1973, has successfully manipulated the worldwide supply of and price for oil, with far-reaching consequences for the world economy and political structure.
组织行为	organizational behavior
美洲国家组织	OSA, Organization of American States
欧洲安全与合作组织(欧安组织)	OSC, Organization for Security and Cooperation
奥斯曼帝国	Ottoman Empire
外层空间	outer space
外層空間條約Wàicéng kōngjiān tiáoyuē	Outer Space Treaty An international agreement, signed by the United States and the former Soviet Union, that banned the introduction of military weapons into outer space, prohibited the extension of national sovereignty in space, and encouraged cooperation and sharing of information about space research.
矯枉過正Jiǎowǎngguòzhèng	overkill Having a much larger nuclear arsenal than is (or would be) needed to wipe out an adversary completely.
超载	Overload
华侨委员会	Overseas Chinese Affairs Committee
推翻，颠覆	overthrow
环太平洋地区	Pacific Rim
太平洋战争	Pacific War
和平主义	pacifism
一揽子交易	package deal
异教徒	pagan
潘恩	Paine
宫廷政变	palace revolt
范式	paradigm
悖論民主和平Bèi lùn mínzhǔ hépíng	paradox of democratic peace Democratic states are often militarily powerful, fight other states, engage in armed intervention, and sometimes commit acts of aggression, but they do not fight each other.
巴黎和会	Paris Peace Conference
議會主權Yìhuì zhǔquán	parliamentary sovereignty In the United Kingdom, the unwritten constitutional principle that makes the British parliament the supreme lawmaking body; laws passed by Parliament are not subject to judicial review and cannot be rejected by the Crown.
議會制Yìhuìzhì	parliamentary system A system of democratic government in which authority is concentrated in the legislative branch, which selects a prime minister and cabinet officers who serve as long as they have majority support in the parliament.
參與Cānyù	participatory A model of democracy that seeks to expand citizen participation in government to the maximum possible degree.
政党功能	Parties,political:functions of
和平伙伴关系	partnership of peace
政党代表大会	Party convention
黨的紀律Dǎng de jìlǜ	party discipline In a parliamentary system, the tendency of legislators to vote consistently as a bloc with fellow party members in support of the party's platform.
政党认同	Party identification
政党组织	Party organization
家长型控制	Paternalism
承袭海	patrimonial sea
委任	Patronage
美国治下的和平	Pax Americana
原子治下的和平	Pax atomica
英国治下的和平	Pax Britannica
民主治下的和平	Pax Democratica
罗马治下的和平	Pax Romana
和平红利	peace dividend
维和行动	peace keeping operation
乌得勒支和约	Peace of Utrecht
维和部队	peace-keeping force
和平共处	peaceful coexistence
和平解决争端	peaceful settlement of disputes
對等組Duì děng zǔ	peer group: A group of people similar in age and characteristics.
(美)五角大楼(美国国防部办公楼)	Pentagon
人民之间的联系和交流	people-to-people contacts and exchanges
中国人民银行	People's Bank of China
中国人民团体	People's Organizations of China
中国人民银行	People's Bank of China
人均国内生产总值	per-capita gross domestic product (GDP)
重組改革Chóngzǔ gǎigé	perestroika Term given to Mikhail Gorbachev's various attempts to restructure the Soviet economy while not completely sacrificing its socialist character.
海湾战争	Persian Gulf War
受欢迎的人	persona grata
不受欢迎的人	persona non-grata
个人系统	personality system
安全观	perspectives of security
哲學家 - 國王Zhéxué jiā - guówáng	philosopher-kings Wise philosopher who governs Plato's ideal city in The Republic.
重农主义	Physiocracy
试点项目	pilot project
政纲	platform
公民投票	plebiscite
公民投票Gōngmín tóupiào	plebiscite A vote by an entire community on some specific issue of public policy.
多元社会	Plural society
多元主义	pluralism
多元民主Duōyuán mínzhǔ	pluralist democracy A model of democracy that stresses vigorous competition among various interests in a free society.
多元安全共同体	pluralistic security community
多數表決制Duōshù biǎojué zhì	plurality vote system A system in which candidates who get the largest number of votes win, whether or not they garner a majority of the votes cast; in a majority vote system, if no candidate gets more than half the votes cast, a runoff election is held to determine the winner.
极理论	polarity theory
极化	polarization
警监	Police Commissioner
警员	Police Constable
警察警衔	Police Ranks in China
警察国家	Police state
警司	Police Superintendent
警督	Police Supervisor
方针，政策	policy （2）
政策分析	Policy analysis
政策输出研究	Policy output studies
政治局Zhèngzhì jú	politburo: A small clique that formed the supreme decision-making body in the former Soviet Union. Its members often belonged to the Secretariat and were ministers of key governmental departments.
政治行動委員會（PAC）Zhèngzhì xíngdòng wěiyuánhuì (PAC)	political action committee (PAC) Group organized to raise campaign funds in support of or in opposition to specific candidates.
政治冷漠Zhèngzhì lěngmò	political apathy Lack of interest in political participation.
中央政治局	Political Bureau of the Central Committee of the CPC
政治沟通	Political communication
政治腐败	Political corruption
政治文化Zhèngzhì wénhuà	political culture The moral values, beliefs, and myths people live by and are willing to die for.
政治發展Zhèngzhì fāzhǎn	political development A government's ability to exert power effectively, to provide for public order and services, and to withstand eventual changes in leadership.
政治效能感Zhèngzhì xiàonéng gǎn	political efficacy The ability to participate meaning fully in political activities, usually because of one's education, social background, and sense of self-esteem.
政治精英	political elite
政治逃犯	political fugitive
政治地理	political geography
政治影响	Political influence
政治整合/政治一体化	Political integratio
政治义务	Political obligation
政治犯	political offender
政治参与	Political participation
政治黨Zhèngzhì dǎng	political party: Any group of individuals who agree on some or all aspects of public policy and organize to place their members in control of the national government.
政治心理学	Political psychology
政治精神心理学	political psychophysiology
政治現實主義Zhèngzhì xiànshí zhǔyì	political realism: The philosophy that power is the key variable in all political relationships and should be used pragmatically and prudently to advance the national interest; policies are judged good or bad on the basis of their effect on national interests, not on their level of morality.
政治学	political science
政治社會化Zhèngzhì shèhuì huà	political socialization: The process by which members of a community are taught the basic values of their society and are thus prepared for the duties of citizenship.
政治继承	Political succession
政治体系/政治系统	Political system
政治暴力	Political violence
政治化	politicization
规模政治	politics of scale
政体	polity
投票，民意测验	poll
多头制	polyarchy
最貧窮的發展中國家（PDC上）Zuì pínqióng de fāzhǎn zhōng guójiā (PDC shàng)	poorest developing countries (PDCs): The 20 or so countries with the lowest per capita income in the world; all are located in sub-Saharan Africa with the exceptions of Afghanistan and Nepal.
科普学会	Popular Science Society
积极主权	positive sovereignty
實證主义Shízhèng	positivism: A philosophy of science, originated by Auguste Comte, that stresses observable, scientific facts as the sole basis of proof and truth; a skeptical view of ideas or beliefs based on religion or metaphysics.
后古典现实主义	post-classical realist
后现代主义	post-modernism
后实证主义	post-positivism
后现代战争	postmodern war
潜在权力	potential power
電源的錢包Diànyuán de qiánbāo	power of the purse Under the U.S. Constitution, the provision that gives the Congress the exclusive right to impose taxes and the final word on government spending.
权力政治	power politics
权力周期理论	power-cycle theory
权力转移理论	power-transition theory
实用主义	pragmatism
可预测性	predictability
先发制人	preemption
先发制人的战争	preemptive war
地方长官	Prefect
国务院总理	Premier, State Council
特权	Prerogative
中华人民共和国主席	President of the People's Republic of China
最高人民法院院长	President of the Supreme People's Court
人民法院院长	President, People's Courts
总统，总统制	President/Presidential system
中华人民共和国主席/副主席	President/Vice President, the People's Republic of China
總統民主Zǒngtǒng mínzhǔ	presidential democracy A democratic form of government in which the chief executive is chosen by separate election, serves a fixed term, and has powers carefully separated from those of the other branches of government.
主席团	presidium
新闻出版署	Press and Publication Administration
新闻处	press section, in formation service
预防性外交	preventive diplomacy
预防性战争	preventive war
基层党组织	Primary party organization
首相（总理）/首相（总理）制政府	Prime minister/Prime ministerial government
事先克制Shìxiān kèzhì	prior restraint The legal doctrine that the government does not have the power to restrain the media from publication, except in cases of dire national emergency.
囚徒困境	prisoner's dilemma
隐私	Privacy
私人访问	private visit
最高人民检察院检察长	Procurator-General
人民检察院检察长	Procurator; General, People's procuratorates
深切哀悼	profound condolence
农村电网改造	projects to upgrade rural power grids
無產階級Wúchǎn jiējí	proletarian: In Marxist theory, a member of the working class.
宣傳Xuānchuán	propaganda: The use of mass media to createwhatever impression is desired among the general population and to influence thoughts and activities toward desired ends.
财产权	Property
比例代表制（PR）Bǐlì dàibiǎo zhì (PR)	proportional representation (PR): Any political structure under which seats in the legislature are allocated to each party based on the percentage of the popular vote each receives.
提议，提案	proposal
繁荣富强	prosperity and strength
贸易保护主义	protectionism
保護民主Bǎohù mínzhǔ	protective democracy: A theory of democracy that places the highest priority on national security.
（被）保护国	protectorate
公约	protocol
礼宾司	Protocol Department
代理人戰爭Dàilǐ rén zhànzhēng	proxy war: A war in which two adversaries back opposing parties to a conflict by supplying money, weapons, and military advisors, while avoiding direct combat operations against each other.
普鲁士帝国	Prussian empire
公共行政	Public administration
公共选择理论	public choice theory
公共领域	public domain
公益,公共物品	public good: The shared beliefs of a political community as to what goals government ought to attain (for example, to achieve the fullest possible measure of security, prosperity, equality, liberty, or justice for all citizens).
政府调查	Public inquiry
公共利益Gōnggòng lìyì	public interest: In political parlance, policies aimed at the general good or society as a whole; in contrast to private interest or special interest, which involve laws or policies favoring individuals or groups.
公眾意見Gōngzhòng yìjiàn	public opinion: A view held by citizens that influences the decisions and policies of government officials.
购买力	purchasing power
清除Qīngchú	purges The elimination of all rivals to power through mass arrests, imprisonment, exile, and murder, often directed at former associates and their followers who have (or are imagined to have) enough influence to be a threat to the ruling elite.
青藏铁路	Qinghai-Tibet Railway
特定多數投票（總市值）Tèdìng duōshù tóupiào (zǒng shìzhí)	qualified majority voting (QMV) In the European Union a form of voting in the European Council and Council of Ministers in which no member state has a veto but passage of a measure is based on an elaborate formula that involves a triple majority, including more than 70 percent of the votes cast.
定性分析	qualitative analysis
准--非政府组织	Quango
定量分析	quantitative analysis
定量方法	quantitative methods
准司法	Quasi-judicial
答問時間Dá wèn shíjiān	Question Time In the United Kingdom, the times set aside Monday through Thursday every week for Her Majesty's Loyal Opposition (the party out of power) to criticize and scrutinize the actions and decisions of the government (the party in power); twice each week, the prime minister must answer hostile questions fired at him or her by the opposition.
共同关心的问题	questions of common interest; question of common concern
种族歧视	racial discrimination
种族问题	racial issue
种族主义	Racism
激进政党	Radical parties
激进主义	radicalism
聯邦院Liánbāng yuàn	Rajya Sabha: The upper house of India's Federal Parliament; the indirectly elected Council of States (see also Lok Sabha).
隨機抽樣Suíjī chōuyàng	random sampling: A polling method that involves canvassing people at random from the population; the opposite of stratified sampling.
理性行为体模型	rational actor model
理性选择制度主义	rational choice institutionalism
理性選擇Lǐxìng xuǎnzé	rational choice: The role of reason over emotion in human behavior. Political behavior, in this view, follows logical and even predictable patterns so long as we understand the key role of self-interest.
理性	Rationality
再就业	re-employment
再就业下岗人员	re-employment of laid-off workers
现实主义	realism
现实政治	Realpolitik
罢免	Recall
記得Jìde	recall: Direct voting to remove an elected official from office.
招待会	reception
经济萧条	recession
答谢宴会	reciprocal banquet
互惠	reciprocity
糾正Jiūzhèng	rectification In Maoist China, the elimination of all purported capitalist traits, such as materialism and individualism.
中国红十字会总会	Red Cross Society of China
重划选区	Redistribution
减轻债务负担	reduction or cancellation of debts
公投Gōngtóu	referendum: A vote through which citizens may directly repeal an action taken by the legislature.
反思主义	reflectivism
政府机构改革	Reform of government institutions
医保制度改革	Reform of medical insurance system
国有企业改革	Reform of state- owned enterprises
宗教改革	Reformation
难民营	refugee camp
区域的	regional
区域意识	regional awareness
区域认同	regional identity
区域一体化	regional integration
区域安全复合体	regional security complex
地区子系统	regional subsystem
区域主义	regionalism
区域化	regionalization
选民登记	Registration of electors
康復Kāngfù	rehabilitation: Education, training, and social conditioning aimed at encouraging imprisoned criminals to become normal, productive members of society when they are released.
恐怖統治Kǒngbù tǒngzhì	Reign of Terror: During the French Revolution, the mass executions, ordered by Robespierre and his Committee of Public Safety, of those deemed to be public enemies, namely all who opposed the revolution or dared to dissent.
相对收益	relative gain
文艺复兴	Renaissance
战败国赔偿	reparation
代表制	Representation
代议制政府	Representative government
共和國Gònghéguó	republic A form of government in which sovereignty resides in the people of that country, rather than with the rulers. The vast majority ofrepublics today are democratic or representative republics, meaning that the sovereign power is exercised by elected representatives who are responsible to the citizenry.
国务院研究室	Research Office of the State Council
资源理论	resource theory
责任政府	Responsible government
報應Bàoyìng	retribution The punishment of criminals on the ground that they have done wrong and deserve to suffer.
逆向歧視Nìxiàng qíshì	reverse discrimination When affirmative action aimed at giving historically disadvantaged groups greater access to jobs, housing, and educational opportunities becomes an obstacle to members of the majority; an unintended consequence of giving preferences to minorities and victims of gender discrimination.
修正主义	revisionism
革命和反革命	Revolution and counter-revolution
革命戰爭Gémìng zhànzhēng	Revolutionary War The American War of Independence (1775-1783); see American Revolution.
居留权	right of residence
權利革命Quánlì gémìng	right to revolution John Locke's theory that when governmental actions undermine the essential rights of life, liberty, and property, citizens have a right to revolt and replace the government with one that will rule correctly.
暴动和抢劫	rioting and looting
无赖国家	rogue state
罗马教会	Roman Catholic Church
罗马帝国	Roman Empire
罗曼诺夫王朝	Romanov dynasty
浪漫主义	romanticism
腐败选区	Rotten borough
巡回大使	roving ambassador
保皇黨Bǎohuáng dǎng	royalist One who favors absolutism or rule by an all-powerful monarch.
国际关系中最起码的准则	rudimentary code of international relations
鲁尔危机	Ruhr crisis
法治Fǎzhì	rule of law The concept that the power and discretion of government and its officials ought to be restrained by a supreme set of neutral rules that prevent arbitrary and unfair action by government; also called constitutionalism.
统治阶级	Ruling class
日俄战争	Russo-Japanese War
神圣不可侵犯	sacred and inviolable
安全阀	safety valve
香腸戰術Xiāngcháng zhànshù	salami tactics The methods used by Vladimir Lenin to divide his opponents into small groups that could be turned against one another and easily overwhelmed.
塞缪尔•亨廷顿	Samuel P. Huntington
日本武士	samurai
卫星国	satellite state
非暴力不合作主义	Satyagraha
施里芬计划	Schlieffen Plan
熊彼特	Schumpeter
科学行为主义	scientific behaviouralism
科学主义	scientism
国际关系的范围	scope of international relations
海权	sea power
海底條約Hǎidǐ tiáoyuē	Seabed Treaty: An international agreement that forbids the establishment of nuclear weapons on the ocean floor beyond the 12-mile territorial limit.
第二院，上议院	Second chambers
二等秘书	second secretary
第二次罷工Dì èr cì bàgōng	second strike: Retaliation in kind against a nuclear attack(er); this capability paradoxically minimizes the likelihood that a nuclear confrontation will lead to an actual nuclear exchange.
第二次打击能力	second-strike capacity
秘密警察	Secret police
秘书处	Secretariat
秘书长	Secretary General
县委书记	Secretary of CPC County Committee
秘书长	Secretary-General
党组书记	secretary, Party Leadership Group
省委/市委书记	Secretary,...Provincial/Municipal Committee of the CPC
科长/股长	Section Chief
安全共同体	security community
安全理事会	Security Council
安全困境	security dilemma
安全利益	security interest
安全体制	security regime
安全关系	security relationship
安全战略	security strategy
安全研究	security study
地震学会	Seismological Society
调查委员会	Select committee
選擇性服務Xuǎnzé xìng fúwù	selective service The Selective Service System was the official name of the military draft in the United States prior to 1972, when an all volunteer army replaced it.
自决	Self-determination
自治	Self-government
自助体系	self-help system
半总统制	Semi-presidential systems
资历制	Seniority
分权,三權分立Sān quán fēnlì	separation of powers The organization of government into distinct areas of legislative, executive, and judicial functions, each responsible to different constituencies and possessing its own powers and responsibilities; the system of dividing the governmental powers among three branches and giving each branch a unique role to play while making all three interdependent.
分离主义	separatism
塞尔维亚	Serbia
农奴制	Serfdom
断绝外交关系	sever diplomatic relations
影子内阁	Shadow cabinet
共同观念	shared ideas
破碎地带	shatterbelt
缔约国	signatory state of the treaty (convention)
簡單多數Jiǎndān duōshù	simple majority The largest bloc of voters in an election.
奴隶制	Slavery
斯拉夫-东正教文明	Slavic-Orthodox civilization
斯密，亚当	Smith,Adam
次国家权威	SNA, sub-national authority
社会建构主义	social constructivism
社会契约论	Social contract
社会民主主义	Social democracy
社会主义	Socialism
社會主義Shèhuì zhǔyì	socialism An ideology favoring collective and govern ment ownership over individual or private ownership.
有中国特色的社会主义民主政治	socialist democratic politics with Chinese characteristics
苏格拉底	Socrates
軟錢Ruǎn qián	soft money Campaign contributions to U.S. national party committees that do not have to be reported to the Federal Election Commission as long as the funds are not used to benefit a particular candidate; the national committees funnel the funds to state parties, which generally operate under less stringent reporting requirements. Critics argue that soft money is a massive loop hole in the existing system of campaign finance regulation and that it amounts to a form of legalized corruption.
软权力	soft power
唯一合法政府	sole legal government
律師Lǜshī	solicitor In Great Britain, an attorney who can prepare court cases and draw up contracts and other legal documents but cannot plead cases or become a judge.
梭倫Suō lún	Solon Lawmaker who successfully reconciles the functions of delegate and trustee; Solon was the great law-giver of ancient Athens, birthplace of western civilization's first democracy.
宋庆龄基金会	Song Ching Ling Foundation
主权行为体	sovereign actor
主权平等	sovereign equality
主权国家	sovereign state
主權財富基金Zhǔquán cáifù jījīn	sovereign wealth fund A state owned investment fund made up of financial assets such as stocks, bonds, precious metals, and property; such funds invest globally. China, for example, has invested huge sums in the United States via its sovereign wealth fund.
主權Zhǔquán	sovereignty A government's capacity to assert supreme power successfully in a political state.
主权成本	sovereignty costs
主权原则	sovereignty doctrine
议长	Speaker
特使	special envoy
特殊利益Tèshū lìyì	special interest An organization or association that exists to further private interests in the political arena; examples in the United States are the U.S. Chamber of Commerce or the National Association of Manufacturers (business), the AFL-CIO (labor), and the National Farmers Organization (NFO).
欢迎词	speech of welcome
安全范围	spheres of security
外溢	spill-over
斯宾诺莎	Spinoza
政党分赃制	Spoils system
发言人	spokesman
滞胀	stagflation
斯大林	Stalin
常务委员会	Standing Committee
县委常委	Standing Committee Member of CPC County Committee
国家出入境检验检疫局(海关总署)	State Administration for Entry, Exit Inspection and Quarantine(under the General Administration of Customs)
国家外汇管理局(中国人民银行总行)	State Administration of Foreign Exchange (under the People's Bank of China)
国家工商行政管理局	State Administration of Industry and Commerce
国家广播电影电视总局	State Administration of Radio, Film and Television
国家中医药管理局(卫生部)	State Administration of Traditional Chinese Medicine(under the Ministry of Public Health)
国家审计署	State Auditing Administration
国宴	state banquet
國家建設Guójiā jiànshè	state building The creation of political institutions capable of exercising authority and allocating resources effectively within a nation.
国家建筑材料工业局	State Bureau of Building Materials Industry
国家煤炭工业局	State Bureau of Coal Industry
国家外国专家局(人事部)	State Bureau of Foreign Experts Affairs (under the Ministry of Personnel)
国家粮食储备局(国家发展计划委员会)	State Bureau of Grain Reserve (Under the State Development Planning Commission)
国家国内贸易局	State Bureau of Internal Trade
国家轻工业局	State Bureau of Light Industry
国家机械工业局	State Bureau of Machine Building Industry
国家冶金工业局	State Bureau of Metallurgical Industry
国家有色金属工业局	State Bureau of Nonferrous Metal Industry
国家海洋局(国土资源部)	State Bureau of Oceanic Administration( under the Ministry of Land and Resources)
国家石油和化学工业局	State Bureau of Petroleum and Chemical Industry
国家质量技术监督局	State Bureau of Quality and Technical Supervision
国家宗教事务局	State Bureau of Religious Affairs
国家测绘局(国土资源部)	State Bureau of Surveying and Mapping(ditto)
国家纺织工业局	State Bureau of Textile Industry
(5)部委管理的国家局	State Bureaus Administration by Ministration or Commission)
国家版权局	State Copyright Bureau
国务院	State Council
国务委员	State Councilor
国家文物局(文化部)	State Cultural Relics Bureau(under the Ministry of Culture)
国家发展计划委员会	State Development Planning Commission
国家药品监督管理局	State Drug Administration(SDA)
国家经济贸易委员会	State Economic and Trade Commission
国家环境保护总局	State Environmental Protection Administration
国家民族事务委员会	State Ethnic Affairs Commission
国家计划生育委员会	State Family Planning Commission
国家林业局	State Forestry Bureau
国家知识产权局	State Intellectual Property Office(SIPO)
国家层次	state level
国家道德	state morality
自然狀態Zìrán zhuàngtài	state of nature The condition of human beings before the creation of a social code of behavior and collective techniques to control normal human impulses.
国家体育总局	State Physical Cultural Administration
国家邮政局(信息产业部)	State Post Bureau(under the Ministry of Information Industry)
国家主权	state sovereignty
国家统计局	State Statistics Bureau
国家税务总局	State Taxation Administration
國家恐怖主義Guójiā kǒngbù zhǔyì	state terrorism Usually violent methods used by a government's own security forces to intimidate and coerce its own people.
国家烟草专卖局	State Tobacco Monopoly Bureau
国事访问	state visit
国家中心体系	state-centric system
国家中心主义	state-centrism
国有企业	state-owned enterprises (SOE)
国家支持的恐怖主义	state-sponsored terrorism
治国术,經世致用Jīngshì zhì yòng	statecraft "The use of the assets or the resources and tools (economic, military, intelligence, media) that a state has to pursue its interest and to affect the behavior of others, whether friendly or hostile," according to foreign policy expert and former diplomat Dennis Ross.
無狀態的國家Wú zhuàngtài de guójiā	stateless nation People (or nations) who are scattered over the territory of several states or dispersed widely and who have no autonomous, independent, or sovereign governing body of their own; examples of stateless nations include the Kurds, Palestinians, and Tibetans
声明	statement
国家特性	stateness
政治家Zhèngzhì jiā	statesman: A politician in a position of authority who possesses exceptional political skills, practical wisdom, and concern for the public good and whose leadership has a significant positive effect on society.
国家主义	statism
现状	status quo
边界现状	status quo of the boundary
現狀戰略Xiànzhuàng zhànlüè	status quo strategy: A national policy of maintaining the existing balance of power through collective security agreements, diplomacy, and negotiation, as well as through "legitimizing instruments," such as international law and international organizations.
维持现状国家	status-quo state
制定法	Statute Law
股票市场崩溃	stock market clash
斯德哥尔摩国际和平研究所	Stockholm International Peace Research Institute
马六甲海峡	Strait of Malacca
削減戰略武器條約 II（START II）Xuējiǎn zhànlüè wǔqì tiáoyuē II(START II)	Strategic Arms Reduction Treaty II (START II): A treaty negotiated between the United States and the former Soviet Union that limited strategic nuclear weapons.
战略利益	strategic interests
战略武器	strategic weapon
分層抽樣Fēn céng chōuyàng	stratified sampling: A manner of polling in which participants are chosen on the basis of age, income, socioeconomic background, and the like, so that the sample mirrors the larger population; the opposite of random sampling.
非正式投票Fēi zhèngshì tóupiào	straw poll: Unscientific survey; simple, inexpensive poll open to all sorts of manipulation and misuse.
结构现实主义	structural realism
结构主义范式	structuralist paradigm
次国家单位	sub-national unit
潛射彈道導彈（SLBM）Qián shè dàndào dǎodàn (SLBM)	submarine-launched ballistic missile (SLBM) Strategic missiles with multiple nuclear warheads launched from submarines that prowl the ocean depths and that cannot be easily detected or destroyed by a preemptive attack.
下岗职工基本生活费	subsistence allowances for laid-off workers
子系统	subsystem
顛覆Diānfù	subversion The attempt to undermine a government, often using outside assistance.
苏伊士运河危机	Suez crisis
首脑会晤	summit conference
首脑外交	summit diplomacy
峰会	summit meeting
逊尼派	Sunnism
警司	Superintendent
超級大國Chāojí dàguó	superpower A superpower must, above all, have a full range of power capabilities, including not only military muscle but also economic, political, diplomatic, and even moral clout. Second, it must have global reach, the capacity to project power to all parts of the world. Third, it must be willing to assert its leadership role in the international arena. During the Cold War, the United States and the Soviet Union both qualified as superpowers by these criteria.
警督	Supervisor
供应学派经济学	supply-side economics
超国家治理	supranational governance
超国家政府	Supranational government
超国家主义	supranationalism
第疑雲Dì yíyún	Supremacy Clause Article VI, Section 2, of the Constitution, which declares that acts of Congress are "the Supreme law of the Land . . . binding on the Judges in every State."
最高法院Zuìgāo fǎyuàn	Supreme Court The U.S. federal court of last resort, settling cases that raise particularly troublesome questions of legal interpretation or constitutional principle.
最高人民法院	Supreme People's Court
最高人民检察院	Supreme People's Procuratorate
盈余	surplus
农村剩余劳动力	surplus rural workers
剩余价值	surplus value
适者生存	survival of the fittest
生还者	survivor
可持续发展	sustainable development
可持續增長Kě chíxù zēngzhǎng	sustainable growth A concept popular among environmentalists and liberal economists that emphasizes the need for economic strategies that take account of the high-cost and long term impact on the environment (including global warming) of economic policies aimed at profit-maximization, current consumption, and the like.
宗主国	suzerain state, metropolitan state
宗主权	suzerainty
系统分析	system analysis
系统层次	system level
国家体系	system of states
国际层次的系统	systems at the international level
战术武器	tactical weapon
台湾事务办公厅	Taiwan Affairs Office
国务院台湾事务办公室	Taiwan Affairs Office of the State Council
注意到	take note of...
关税减让	tariffs reduction
关税同盟	Tariffs Union
茶会	tea party
电讯革命	telecommunications revolution
电视会议	televised meeting
貿易條件Màoyì tiáojiàn	terms of trade In international economics, the valuation (or price) of the products (commodities, manufactures, services) that countries buy on the world market relative to the valuation of the products they sell; the structure of prices for different kinds of goods and services in international trade—for example, if manufactures are generally high-priced relative to minerals and agricultural products, then the terms of trade are unfavorable for countries that produce only farm commodities or raw materials.
领空	territorial air
领土毗连	territorial contiguity
领土完整	territorial integrity
领土管辖权	territorial jurisdiction
领海	territorial sea
领水	territorial waters
恐怖主义	terrorism
反恐Fǎnkǒng	terrorism Political activity that relies on violence or the threat of violence to achieve its ends.
条顿骑士团	Teutonic knights
冷战的缓和	thawing of Cold War
安第斯条约集团	The Andean Pact
磋商程序	the consultation procedure
常驻代表委员会	the COREPER, Committee of Permanent Representatives
（欧盟）部长理事会（即欧盟理事会）	the Council of Ministers
代顿协议	the Dayton Peace Accords
欧盟委员会	the European Commission
欧洲委员会	the European Council
欧洲议会	the European Parliament
和平共处五项原则	the Five Principles of Peaceful Coexistence
